Code,Division,Code,District,Code,Upazila/City Corporation,Code,Union / Municipality / City Corporation Ward
40,Khulna,47,KHULNA,53,KOYRA,143,BAGALI
40,Khulna,50,KUSHTIA,39,DAULATPUR,212,DAULATPUR
55,Rangpur,52,LALMONIRHAT,33,HATIBANDHA,151,BHELAGURI
30,Dhaka,35,GOPALGANJ,58,MUKSUDPUR,65,MUKSUDPUR POURASABHA
50,Rajshahi,64,NAOGAON,75,PATNITALA,118,AMAIR
55,Rangpur,94,THAKURGAON,51,HARIPUR,109,AMGAON
10,Barisal,04,BARGUNA,28,BARGUNA SADAR,613,PHULJHURI
40,Khulna,01,BAGERHAT,60,MORELGANJ,515,MORELGANJ
20,Chittagong,51,LAKSHMIPUR,33,KAMALNAGAR,610,PATARIR HAT
55,Rangpur,32,GAIBANDHA,21,FULCHHARI,443,KANCHIPARA
30,Dhaka,26,DHAKA,20,DHAKA SOUTH CITY CORPORATION,027,WARD NO. 27 (63) (PART)
20,Chittagong,15,CHITTAGONG,33,FATIKCHHARI,414,JAFATNAGAR
55,Rangpur,85,RANGPUR,75,RANGPUR CITY CORPORATION,009,WARD NO. 09
30,Dhaka,93,TANGAIL,66,MIRZAPUR,70,MIRZAPUR POURASABHA
45,Mymensingh,61,MYMENSINGH,24,HALUAGHAT,722,SWADESHI
20,Chittagong,30,FENI,41,FULGAZI,109,AMJADHAT
45,Mymensingh,61,MYMENSINGH,24,HALUAGHAT,152,BILDORA
30,Dhaka,59,MUNSHIGANJ,56,MUNSHIGANJ SADAR,109,ADHARA
55,Rangpur,94,THAKURGAON,94,THAKURGAON SADAR,316,GAREYA
20,Chittagong,84,RANGAMATI,07,BAGHAICHHARI,709,SAJEK
30,Dhaka,86,SHARIATPUR,65,NARIA,414,JAPSA
20,Chittagong,84,RANGAMATI,29,BELAICHHARI,276,FARUA
55,Rangpur,27,DINAJPUR,38,FULBARI,244,ELUARI
60,Sylhet,91,SYLHET,50,SYLHET CITY CORPORATION,007,WARD NO. 07
50,Rajshahi,70,CHAPAINABABGANJ,88,SHIBGANJ,176,CHAK KIRTI
55,Rangpur,32,GAIBANDHA,21,FULCHHARI,783,URIA
